"","trip_id","season_id","season","Nhunt","Nhunt_s","j_id","age_cat","gender","gender_id","income_s","indegree_s","outdegree_s","patch_id","harvest","income_s_complete"
"1",1,2,"ice-free",3,-0.105333891435658,16,1,"m",1,-1.92825292913458,1.21593695305176,-0.934167716584749,7,1,-1.92825292913458
"2",2,1,"ice",5,0.704926811915559,17,4,"f",2,-2.41590687749337,-1.31726503247274,-0.302973313486946,5,1,-2.41590687749337
"3",3,1,"ice",5,0.704926811915559,13,3,"m",1,0.477235547700055,1.84923744943288,0.328221089610858,7,0,0.477235547700055
"4",4,2,"ice-free",1,-0.915594594786875,2,2,"m",1,-0.444481134288878,-0.0506640397104899,-0.934167716584749,7,1,-0.444481134288878
"5",5,2,"ice-free",3,-0.105333891435658,13,3,"m",1,0.477235547700055,1.84923744943288,0.328221089610858,2,1,0.477235547700055
"6",6,1,"ice",3,-0.105333891435658,7,2,"m",1,0.0357886383452906,-1.31726503247274,-0.934167716584749,4,0,0.0357886383452906
"7",7,1,"ice",1,-0.915594594786875,8,2,"m",1,0.354091364656257,0.582636456670634,0.328221089610858,7,0,0.354091364656257
"8",8,1,"ice",3,-0.105333891435658,5,3,"f",2,0.901005187895897,-0.0506640397104899,-1.56536211968255,7,0,0.901005187895897
"9",9,1,"ice",1,-0.915594594786875,20,3,"m",1,-0.16477750835657,-0.683964536091614,0.959415492708661,6,1,-0.16477750835657
"10",10,2,"ice-free",4,0.29979646023995,19,2,"m",1,-0.154969234540543,-0.683964536091614,0.959415492708661,4,0,-0.154969234540543
"11",11,1,"ice",3,-0.105333891435658,3,3,"m",1,-0.498855519170118,-0.0506640397104899,0.328221089610858,5,1,-0.498855519170118
"12",12,1,"ice",2,-0.510464243111267,14,2,"f",2,0.279727493975054,-0.0506640397104899,-0.934167716584749,7,0,0.279727493975054
"13",13,2,"ice-free",3,-0.105333891435658,2,2,"m",1,-0.444481134288878,-0.0506640397104899,-0.934167716584749,2,1,-0.444481134288878
"14",14,2,"ice-free",3,-0.105333891435658,17,4,"f",2,-2.41590687749337,-1.31726503247274,-0.302973313486946,1,1,-2.41590687749337
"15",15,1,"ice",3,-0.105333891435658,17,4,"f",2,-2.41590687749337,-1.31726503247274,-0.302973313486946,7,0,-2.41590687749337
"16",16,1,"ice",2,-0.510464243111267,12,3,"m",1,0.456873123732183,-0.683964536091614,-0.934167716584749,5,1,0.456873123732183
"17",17,1,"ice",2,-0.510464243111267,20,3,"m",1,-0.16477750835657,-0.683964536091614,0.959415492708661,6,1,-0.16477750835657
"18",18,1,"ice",1,-0.915594594786875,14,2,"f",2,0.279727493975054,-0.0506640397104899,-0.934167716584749,7,0,0.279727493975054
"19",19,2,"ice-free",4,0.29979646023995,18,3,"m",1,-1.23753414834895,0.582636456670634,1.59060989580646,2,1,-1.23753414834895
